GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library Management System,com.example.library.controller,LibraryController,11,25,0,0,2,7,2,5,2,5
Library Management System,com.example.library.service,LibraryService,0,102,0,4,0,22,0,12,0,10
